lat,long,precipitation
23.5,68.5,1.104471913
24.5,68.5,1.075727353
21.5,69.5,1.724480676
22.5,69.5,1.137293506
23.5,69.5,1.042383661
24.5,69.5,1.019343573
27.5,69.5,0.392883848
20.5,70.5,1.98898117
21.5,70.5,2.488172097
22.5,70.5,1.541277692
23.5,70.5,1.050891823
24.5,70.5,1.01399094
25.5,70.5,0.682727323
26.5,70.5,0.469436786
27.5,70.5,0.38203818
28.5,70.5,0.388059997
20.5,71.5,1.53178407
21.5,71.5,1.526241912
22.5,71.5,1.618556101
23.5,71.5,1.544974373
24.5,71.5,1.137984086
25.5,71.5,0.689993749
26.5,71.5,0.544283864
27.5,71.5,0.55109185
28.5,71.5,0.471289905
18.5,72.5,6.292236886
19.5,72.5,5.793071544
20.5,72.5,4.965739139
21.5,72.5,2.434620633
22.5,72.5,1.937107651
23.5,72.5,1.714471375
24.5,72.5,1.529972089
25.5,72.5,0.994518834
26.5,72.5,0.697533086
27.5,72.5,0.716052355
28.5,72.5,0.753260313
29.5,72.5,0.663288728
36.5,72.5,1.088811417
15.5,73.5,8.024183177
16.5,73.5,8.601768598
17.5,73.5,9.951298051
18.5,73.5,4.904203683
19.5,73.5,7.234744576
20.5,73.5,5.571905488
21.5,73.5,3.508026706
22.5,73.5,2.766995768
23.5,73.5,2.085515877
24.5,73.5,1.643523842
25.5,73.5,1.509622159
26.5,73.5,1.099718416
27.5,73.5,0.923762012
28.5,73.5,0.755415374
29.5,73.5,0.61908206
30.5,73.5,0.861490606
33.5,73.5,2.770522886
34.5,73.5,2.18862365
35.5,73.5,1.653377789
36.5,73.5,1.37122785
12.5,74.5,10.31804067
13.5,74.5,10.05846541
14.5,74.5,9.36807579
15.5,74.5,5.612628529
16.5,74.5,1.777084201
17.5,74.5,1.500088916
18.5,74.5,1.373897049
19.5,74.5,1.37060134
20.5,74.5,1.42425781
21.5,74.5,2.083849964
22.5,74.5,2.361265637
23.5,74.5,2.795431387
24.5,74.5,2.301491068
25.5,74.5,1.509423251
26.5,74.5,1.400261151
27.5,74.5,0.98839865
28.5,74.5,0.992443068
29.5,74.5,0.741022247
30.5,74.5,1.155448835
31.5,74.5,1.802037245
32.5,74.5,3.033634131
33.5,74.5,3.200378696
34.5,74.5,2.90169907
35.5,74.5,2.276998356
36.5,74.5,1.824229492
10.5,75.5,7.966542045
11.5,75.5,8.736578088
12.5,75.5,7.840662829
13.5,75.5,6.066833255
14.5,75.5,2.122018705
15.5,75.5,1.740083837
16.5,75.5,1.544025532
17.5,75.5,1.973426337
18.5,75.5,1.81608958
19.5,75.5,1.588600324
20.5,75.5,2.076924698
21.5,75.5,2.047612129
22.5,75.5,2.509566718
23.5,75.5,2.526928669
24.5,75.5,2.314554172
25.5,75.5,1.747126098
26.5,75.5,1.631048035
27.5,75.5,1.410392091
28.5,75.5,1.181716926
29.5,75.5,1.018729326
30.5,75.5,1.383165458
31.5,75.5,2.217179205
32.5,75.5,3.110008862
33.5,75.5,3.358974599
34.5,75.5,3.140880659
35.5,75.5,2.70826537
36.5,75.5,2.26623879
8.5,76.5,5.118515069
9.5,76.5,7.237877866
10.5,76.5,6.108513246
11.5,76.5,5.695255996
12.5,76.5,1.906297827
13.5,76.5,1.991593119
14.5,76.5,1.396159555
15.5,76.5,1.484374196
16.5,76.5,1.729191702
17.5,76.5,2.166463987
18.5,76.5,2.318625313
19.5,76.5,2.623504014
20.5,76.5,2.039419448
21.5,76.5,2.507682362
22.5,76.5,2.653778059
23.5,76.5,2.7205371
24.5,76.5,2.468252002
25.5,76.5,2.142403846
26.5,76.5,1.844177267
27.5,76.5,1.716518103
28.5,76.5,1.376341773
29.5,76.5,1.064204374
30.5,76.5,1.68053048
31.5,76.5,3.396175754
32.5,76.5,4.447410191
33.5,76.5,4.437291934
34.5,76.5,3.788830304
35.5,76.5,3.248563641
8.5,77.5,3.634222226
9.5,77.5,2.187884607
10.5,77.5,1.865385815
11.5,77.5,2.137954382
12.5,77.5,2.15301477
13.5,77.5,1.878207866
14.5,77.5,1.524652291
15.5,77.5,1.634257277
16.5,77.5,2.051729706
17.5,77.5,2.539122455
18.5,77.5,2.759888843
19.5,77.5,2.746108572
20.5,77.5,2.303771442
21.5,77.5,2.464601725
22.5,77.5,3.300202258
23.5,77.5,3.110652126
24.5,77.5,2.717078658
25.5,77.5,2.392675834
26.5,77.5,1.804521872
27.5,77.5,1.717381287
28.5,77.5,2.017428173
29.5,77.5,2.23208668
30.5,77.5,3.460789168
31.5,77.5,2.87392292
32.5,77.5,3.284826912
33.5,77.5,4.879277102
34.5,77.5,4.33377447
35.5,77.5,3.791047059
8.5,78.5,1.918756186
9.5,78.5,1.940049538
10.5,78.5,2.347306172
11.5,78.5,2.219189308
12.5,78.5,2.295458711
13.5,78.5,2.136008269
14.5,78.5,1.773940138
15.5,78.5,2.063469448
16.5,78.5,1.97830083
17.5,78.5,2.229978956
18.5,78.5,2.915652529
19.5,78.5,2.882212989
20.5,78.5,2.861195408
21.5,78.5,2.616787527
22.5,78.5,3.30744226
23.5,78.5,3.313159765
24.5,78.5,2.650480208
25.5,78.5,2.462881881
26.5,78.5,2.02599258
27.5,78.5,1.870379851
28.5,78.5,2.211136133
29.5,78.5,3.107837368
30.5,78.5,4.966686324
31.5,78.5,2.735308599
32.5,78.5,2.639432083
33.5,78.5,3.759195069
34.5,78.5,4.046230385
35.5,78.5,3.91819622
36.5,78.5,3.595353619
9.5,79.5,2.450211828
10.5,79.5,3.27148296
11.5,79.5,3.130195139
12.5,79.5,3.09928628
13.5,79.5,2.942652414
14.5,79.5,2.412728614
15.5,79.5,2.032484192
16.5,79.5,1.83190788
17.5,79.5,2.366443229
18.5,79.5,2.715914108
19.5,79.5,2.966487104
20.5,79.5,3.275422875
21.5,79.5,3.056490196
22.5,79.5,3.006114982
23.5,79.5,3.361118507
24.5,79.5,3.015432346
25.5,79.5,2.554295519
26.5,79.5,2.072669568
27.5,79.5,2.343875702
28.5,79.5,2.651085862
29.5,79.5,3.503638416
30.5,79.5,3.625139616
31.5,79.5,2.612544276
32.5,79.5,2.497064627
33.5,79.5,3.127650979
34.5,79.5,3.58673893
35.5,79.5,3.752680907
36.5,79.5,3.674411861
12.5,80.5,3.37830475
13.5,80.5,3.600965611
14.5,80.5,2.936811709
15.5,80.5,2.448129514
16.5,80.5,2.6605779
17.5,80.5,3.098479422
18.5,80.5,3.321877208
19.5,80.5,3.821157449
20.5,80.5,3.575761128
21.5,80.5,4.20863616
22.5,80.5,3.704839744
23.5,80.5,3.489594201
24.5,80.5,3.196765563
25.5,80.5,2.593188829
26.5,80.5,2.403363262
27.5,80.5,2.698322192
28.5,80.5,3.124231076
29.5,80.5,3.408556188
30.5,80.5,3.531920866
35.5,80.5,3.511113287
16.5,81.5,2.864995051
17.5,81.5,3.156402794
18.5,81.5,3.856154523
19.5,81.5,3.995306164
20.5,81.5,3.27039164
21.5,81.5,3.045005194
22.5,81.5,3.332633711
23.5,81.5,3.118632203
24.5,81.5,3.020832825
25.5,81.5,2.410430413
26.5,81.5,2.569715658
27.5,81.5,3.091410616
28.5,81.5,3.322435249
16.5,82.5,3.158369758
17.5,82.5,3.033216013
18.5,82.5,3.443498073
19.5,82.5,3.912902833
20.5,82.5,3.484149521
21.5,82.5,3.055816857
22.5,82.5,4.048189964
23.5,82.5,3.574793562
24.5,82.5,2.786084454
25.5,82.5,2.481826807
26.5,82.5,2.897947621
27.5,82.5,3.331471925
17.5,83.5,2.744037173
18.5,83.5,3.023668642
19.5,83.5,3.294841927
20.5,83.5,3.727208919
21.5,83.5,3.671860869
22.5,83.5,3.505120967
23.5,83.5,2.962443317
24.5,83.5,2.834180663
25.5,83.5,2.655081348
26.5,83.5,3.535924564
27.5,83.5,3.444646719
18.5,84.5,3.028500335
19.5,84.5,3.268943569
20.5,84.5,3.636915865
21.5,84.5,3.91149728
22.5,84.5,3.286296724
23.5,84.5,3.243481254
24.5,84.5,2.710645169
25.5,84.5,2.836438471
26.5,84.5,3.360497312
27.5,84.5,3.723379294
19.5,85.5,3.60247491
20.5,85.5,3.821905581
21.5,85.5,3.588262029
22.5,85.5,3.451299405
23.5,85.5,3.548209891
24.5,85.5,3.176581837
25.5,85.5,2.950922057
26.5,85.5,3.298783239
20.5,86.5,4.257145123
21.5,86.5,4.292813118
22.5,86.5,3.457639688
23.5,86.5,3.644237051
24.5,86.5,3.47945841
25.5,86.5,3.582665339
26.5,86.5,3.343120474
21.5,87.5,4.736816922
22.5,87.5,4.26259801
23.5,87.5,3.863596198
24.5,87.5,3.86743003
25.5,87.5,3.760323696
26.5,87.5,4.636894317
21.5,88.5,4.910723471
22.5,88.5,4.6770087
23.5,88.5,3.496497277
24.5,88.5,3.838733498
25.5,88.5,4.598090273
26.5,88.5,8.587203603
27.5,88.5,7.027389882
28.5,88.5,6.79198107
26.5,89.5,9.468990721
27.5,89.5,8.10398623
25.5,90.5,8.845347347
26.5,90.5,9.187884889
27.5,90.5,8.978630988
23.5,91.5,6.906202766
24.5,91.5,6.890171983
25.5,91.5,5.434415843
26.5,91.5,5.019949173
27.5,91.5,5.15584977
28.5,91.5,5.031027173
22.5,92.5,6.92887197
23.5,92.5,6.877788613
24.5,92.5,6.125388286
25.5,92.5,4.301373668
26.5,92.5,4.884381309
27.5,92.5,4.829140819
28.5,92.5,4.989784584
23.5,93.5,5.065396185
24.5,93.5,3.969861366
25.5,93.5,3.976182713
26.5,93.5,4.346736673
27.5,93.5,5.03233627
28.5,93.5,10.07243563
24.5,94.5,3.824274789
25.5,94.5,3.998663822
26.5,94.5,5.188691255
27.5,94.5,11.40481799
28.5,94.5,11.68529497
29.5,94.5,11.70100869
26.5,95.5,11.57059947
27.5,95.5,11.68788961
28.5,95.5,11.69043926
29.5,95.5,11.69548334
27.5,96.5,11.67063433
28.5,96.5,11.68018372
29.5,96.5,11.68760698
27.5,97.5,11.65213947
28.5,97.5,11.66624927
